,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12
North Italy,0.0018464938353793536,0.009256505317809334,0.0006602210422549703,6.7345140644698574e-09,0.0009785075285047465,1.0969022380501149e-05,9.809047881068438e-05,0.00039559893896418135,0.008415226607156722,0.00028724816562194816,0.0005900913962753477,0.002085406954974462
Tuscany,0.004764869314474275,0.00747116535637941,0.0006131352421864465,0.0017785746015767892,0.00016023831324623968,0.003742036369102776,8.876203063281278e-05,8.290028966742325e-05,0.00896370806437501,0.001618658720082352,0.0015943380053542579,7.50614729491259e-06
Central Italy,0.03232673175996459,0.001267410221176713,0.012272177656953992,0.00027041978175110844,0.0002409081772473577,0.00944982795290222,0.0020939132568441295,0.010322236740156723,0.0005007943745046275,0.0022970964432498533,0.006717761457655989,0.005935587851282899
South Italy,0.029371226709119198,1.3315291485891204e-05,0.003992912843046731,2.029047795433468e-06,0.00024768669556150705,9.777091390803945e-05,0.0008286352491355617,0.010470179455452195,0.0102071768800912,0.010050226398268636,0.0009356810498662854,0.01693752035511633
Sicily,0.03149368127547246,9.607531704727678e-05,0.007354644452748085,0.00032275888214297605,0.0013430033928399025,0.004579014780104184,5.0963352116609175e-06,5.5094650901509535e-05,6.85216676366086e-05,0.0025804881794398533,0.0028076324802307276,0.0013932238090951627
Sardinia,0.013530453896732228,0.0010787000205391066,0.00791691468696099,0.0043389075546753884,0.0017646731146879564,0.0712397444105818,0.0467837407647318,1.800790998755735e-05,0.029285424639482728,3.0257390557256842e-05,0.007490425651939242,0.003392370571849557
Kosovo,0.005557142197516418,0.006706974475615652,0.025334617353979773,0.0009950901773060439,0.0008843457984142512,0.25146950476014546,0.009781350251034833,0.047902865623399654,0.020664212573236033,0.011505122387879754,0.012268038698025637,0.00016889965751831337
Latvia,0.02138815091764364,0.021219482574333523,0.012965513575214554,0.015697806232348815,5.003021947148631e-06,0.00031047029178292,0.004917743346698252,0.00011445089266066924,0.0004713097915160384,0.005517708862525089,4.206834420858895e-05,0.0006117377555048065
Lithuania,0.021751008000354195,0.028437777766521552,0.010938134871424022,0.013312139698800867,2.3626073122133894e-05,0.0004028771875855975,7.595736425175665e-05,1.72702334127536e-05,0.0022951264162378226,0.009424188579206298,1.7340342480976197e-06,0.0011456404868467364
Macedonia,0.004668357156323905,0.008012828378651995,0.00633915928718809,0.006200415090657715,0.00014780338820619064,0.0036173362721234077,0.00015504346519867732,0.002772944282301063,0.0008726924956415647,0.0005863119226196245,0.0001316599381197043,2.6478500888451704e-05
Malta,0.040825739777910305,0.00012762937784952395,0.014046453902602039,0.0001494330523729558,0.0031465015025052764,0.020183490580411557,0.014151400282435278,0.011915565830456254,0.08142765391925777,0.026974939190812362,0.011350856343617178,0.00010223491178673898
Moldova,8.930951283448967e-05,0.007357843277138572,0.0008694927326038847,0.008379868506586159,0.0031873323341177996,0.005440002086854051,0.003633706883228831,0.02058302496763005,0.017791608200190073,0.04751317674066219,0.05532930116556623,0.008625547560448461
Gagauzes,0.006174144510851441,0.0003760609623534559,0.0019908424491148925,0.008724637052069892,0.006507121572953897,0.039687273524787056,2.1135714465179924e-05,0.029055589908629546,0.06896528134355,0.0037322355539555967,0.02359186464380299,0.021228070294117447
